datetime,power,gfs_wind_speed_10m
2021-05-06 12:30:00,19.7318,1.7197096
2021-05-06 12:45:00,19.5345,1.7853581
2021-05-06 13:00:00,19.3742,1.8728411
2021-05-06 13:15:00,19.2768,1.9766215
2021-05-06 13:30:00,19.0566,2.0939074
2021-05-06 13:45:00,18.7688,2.211664
2021-05-06 14:00:00,18.4499,2.2493627
2021-05-06 14:15:00,18.1604,2.2658734
2021-05-06 14:30:00,17.8491,2.3769126
2021-05-06 14:45:00,17.5499,2.6376698
2021-05-06 15:00:00,17.2871,2.9874692
2021-05-06 15:15:00,17.0755,3.326964
2021-05-06 15:30:00,17.0351,3.5953498
2021-05-06 15:45:00,17.2055,3.787635
2021-05-06 16:00:00,17.5913,3.8978996
2021-05-06 16:15:00,18.2197,3.998113
2021-05-06 16:30:00,18.9341,4.1313553
2021-05-06 16:45:00,19.7318,4.3436604
2021-05-06 17:00:00,20.5822,4.5832815
2021-05-06 17:15:00,21.4792,4.6747766
2021-05-06 17:30:00,22.3662,4.565388
2021-05-06 17:45:00,23.1895,4.424996
2021-05-06 18:00:00,23.8796,4.2734275
2021-05-06 18:15:00,24.3944,4.08283
2021-05-06 18:30:00,24.9178,3.8114772
2021-05-06 18:45:00,25.4392,3.6535764
2021-05-06 19:00:00,25.9914,3.6738422
2021-05-06 19:15:00,26.5644,3.705819
2021-05-06 19:30:00,27.0093,3.760816
2021-05-06 19:45:00,27.3092,3.4503286
2021-05-06 20:00:00,27.4252,2.801411
2021-05-06 20:15:00,27.3788,2.8215673
2021-05-06 20:30:00,27.1935,2.7637093
2021-05-06 20:45:00,26.9061,2.6653697
2021-05-06 21:00:00,26.5644,2.590952
2021-05-06 21:15:00,26.2037,2.5014298
2021-05-06 21:30:00,25.8802,2.4536157
2021-05-06 21:45:00,25.6479,2.519493
2021-05-06 22:00:00,25.5598,2.7957911
2021-05-06 22:15:00,25.6479,3.4323468
2021-05-06 22:30:00,25.7141,4.1791687
2021-05-06 22:45:00,25.7583,4.8137817
2021-05-06 23:00:00,25.7251,4.779454
2021-05-06 23:15:00,25.6038,4.944342
2021-05-06 23:30:00,25.3954,5.030808
2021-05-06 23:45:00,25.0798,5.121218
2021-05-07 00:00:00,25.9468,6.471894
2021-05-07 00:15:00,26.0359,6.524014
2021-05-07 00:30:00,26.0471,6.7889347
2021-05-07 00:45:00,25.9802,7.038191
2021-05-07 01:00:00,25.8358,6.970294
2021-05-07 01:15:00,25.6038,6.840667
2021-05-07 01:30:00,25.3517,6.8010545
2021-05-07 01:45:00,25.0365,6.739923
2021-05-07 02:00:00,24.6497,6.698003
2021-05-07 02:15:00,24.1517,6.7511415
2021-05-07 02:30:00,23.5996,6.758857
2021-05-07 02:45:00,22.9664,6.664634
2021-05-07 03:00:00,22.2674,6.552028
2021-05-07 03:15:00,21.508,6.3489666
2021-05-07 03:30:00,20.778,6.237201
