datetime,power,gfs_wind_speed_10m,gfs_wind_speed_70m
2021-05-05 19:45:00,123.9198,7.9526944,10.164674
2021-05-05 20:00:00,115.5665,6.743194,9.426217
2021-05-05 20:15:00,107.3973,5.3907595,8.767445
2021-05-05 20:30:00,99.5325,4.532631,8.351308
2021-05-05 20:45:00,92.0636,4.103445,8.007787
2021-05-05 21:00:00,84.9772,3.8717308,7.68977
2021-05-05 21:15:00,78.376,3.7695494,7.391242
2021-05-05 21:30:00,72.3111,3.7408192,7.0476108
2021-05-05 21:45:00,66.8131,3.8382828,6.7238874
2021-05-05 22:00:00,61.7868,4.072115,6.4055967
2021-05-05 22:15:00,57.2282,4.5395913,6.2928233
2021-05-05 22:30:00,52.8923,4.950688,6.3212223
2021-05-05 22:45:00,48.8004,4.9330173,6.333286
2021-05-05 23:00:00,44.933,4.945855,6.380222
2021-05-05 23:15:00,41.2724,4.9981337,6.377987
2021-05-05 23:30:00,37.8035,5.0168366,6.326852
